time	V(g1)	V(n002)
5.106896323749943e-004	1.837509e-002	-2.133552e-001
5.146896323751093e-004	2.354627e-002	-2.678216e-001
5.186896323752244e-004	2.735506e-002	-3.062475e-001
5.216361861624108e-004	2.919305e-002	-3.230801e-001
5.232832276353960e-004	2.975258e-002	-3.269386e-001
5.247918427584430e-004	2.992465e-002	-3.264503e-001
5.264226280821127e-004	2.976549e-002	-3.218943e-001
5.288153018270236e-004	2.887851e-002	-3.077380e-001
5.326896323798458e-004	2.616232e-002	-2.706047e-001
5.366896323799608e-004	2.191560e-002	-2.170108e-001
5.406896323800758e-004	1.630545e-002	-1.500491e-001
5.446896323801909e-004	9.670771e-003	-7.440435e-002
5.486896323803059e-004	2.428439e-003	4.726416e-003
5.526896323804209e-004	-4.966480e-003	8.221632e-002
5.566896323805359e-004	-1.204934e-002	1.533738e-001
5.606896323806510e-004	-1.837509e-002	2.141945e-001
5.646896323807660e-004	-2.354627e-002	2.614982e-001
5.686896323808810e-004	-2.735506e-002	2.941268e-001
5.716361861649588e-004	-2.919305e-002	3.082468e-001
5.732832276383881e-004	-2.975258e-002	3.114998e-001
5.747918427578824e-004	-2.992465e-002	3.111770e-001
5.764226280815521e-004	-2.976549e-002	3.075138e-001
5.788153018264630e-004	-2.887851e-002	2.958748e-001
5.826896323788411e-004	-2.616232e-002	2.646893e-001
5.866896323789561e-004	-2.191560e-002	2.183577e-001
5.906896323790711e-004	-1.630545e-002	1.583220e-001
5.946896323791862e-004	-9.670771e-003	8.758792e-002
5.986896323793012e-004	-2.428439e-003	1.014887e-002
6.026896323794162e-004	4.966480e-003	-6.928681e-002
6.066896323795312e-004	1.204934e-002	-1.455470e-001
6.106896323796462e-004	1.837509e-002	-2.133655e-001
6.146896323797613e-004	2.354627e-002	-2.678318e-001
6.186896323798763e-004	2.735506e-002	-3.062576e-001
6.216361861643982e-004	2.919305e-002	-3.230901e-001
6.232832276378275e-004	2.975258e-002	-3.269484e-001
6.247918427582100e-004	2.992465e-002	-3.264601e-001
6.264226280818797e-004	2.976549e-002	-3.219040e-001
6.288153018267906e-004	2.887851e-002	-3.077476e-001
6.326896323791686e-004	2.616232e-002	-2.706139e-001
6.366896323792837e-004	2.191560e-002	-2.170197e-001
6.406896323793987e-004	1.630545e-002	-1.500576e-001
6.446896323795137e-004	9.670771e-003	-7.441255e-002
6.486896323796287e-004	2.428439e-003	4.718563e-003
6.526896323797438e-004	-4.966480e-003	8.220880e-002
6.566896323798588e-004	-1.204934e-002	1.533666e-001
6.606896323799738e-004	-1.837509e-002	2.141876e-001
6.646896323800888e-004	-2.354627e-002	2.614915e-001
6.686896323802039e-004	-2.735506e-002	2.941203e-001
6.716361861642817e-004	-2.919305e-002	3.082404e-001
6.732832276377110e-004	-2.975258e-002	3.114935e-001
6.747918427580935e-004	-2.992465e-002	3.111707e-001
6.764226280817631e-004	-2.976549e-002	3.075076e-001
6.788153018266740e-004	-2.887851e-002	2.958686e-001
6.826896323790521e-004	-2.616232e-002	2.646832e-001
6.866896323791671e-004	-2.191560e-002	2.183516e-001
6.906896323792822e-004	-1.630545e-002	1.583159e-001
6.946896323793972e-004	-9.670771e-003	8.758184e-002
6.986896323795122e-004	-2.428439e-003	1.014277e-002
7.026896323796272e-004	4.966480e-003	-6.929293e-002
7.066896323797423e-004	1.204934e-002	-1.455531e-001
7.106896323798573e-004	1.837509e-002	-2.133716e-001
7.146896323799723e-004	2.354627e-002	-2.678378e-001
7.186896323800873e-004	2.735506e-002	-3.062636e-001
7.216361861646092e-004	2.919305e-002	-3.230959e-001
7.232832276380385e-004	2.975258e-002	-3.269542e-001
7.247918427579769e-004	2.992465e-002	-3.264659e-001
7.264226280816466e-004	2.976549e-002	-3.219098e-001
7.288153018265575e-004	2.887851e-002	-3.077532e-001
7.326896323789356e-004	2.616232e-002	-2.706193e-001
7.366896323790506e-004	2.191560e-002	-2.170249e-001
7.406896323791656e-004	1.630545e-002	-1.500627e-001
7.446896323792807e-004	9.670771e-003	-7.441741e-002
7.486896323793957e-004	2.428439e-003	4.713905e-003
7.526896323795107e-004	-4.966480e-003	8.220434e-002
7.566896323796257e-004	-1.204934e-002	1.533623e-001
7.606896323797407e-004	-1.837509e-002	2.141834e-001
7.646896323798558e-004	-2.354627e-002	2.614875e-001
7.686896323799708e-004	-2.735506e-002	2.941165e-001
7.716361861644927e-004	-2.919305e-002	3.082366e-001
7.732832276379220e-004	-2.975258e-002	3.114897e-001
7.747918427578604e-004	-2.992465e-002	3.111670e-001
7.764226280815301e-004	-2.976549e-002	3.075039e-001
7.788153018264410e-004	-2.887851e-002	2.958649e-001
7.826896323788191e-004	-2.616232e-002	2.646795e-001
7.866896323789341e-004	-2.191560e-002	2.183480e-001
7.906896323790491e-004	-1.630545e-002	1.583123e-001
7.946896323791641e-004	-9.670771e-003	8.757819e-002
7.986896323792792e-004	-2.428439e-003	1.013911e-002
8.026896323793942e-004	4.966480e-003	-6.929658e-002
8.066896323795092e-004	1.204934e-002	-1.455567e-001
8.106896323796242e-004	1.837509e-002	-2.133752e-001
8.146896323797392e-004	2.354627e-002	-2.678414e-001
8.186896323798543e-004	2.735506e-002	-3.062671e-001
8.216361861643762e-004	2.919305e-002	-3.230995e-001
8.232832276378055e-004	2.975258e-002	-3.269578e-001
8.247918427577439e-004	2.992465e-002	-3.264694e-001
8.264226280818576e-004	2.976549e-002	-3.219132e-001
8.288153018267686e-004	2.887851e-002	-3.077566e-001
8.326896323795907e-004	2.616232e-002	-2.706226e-001
8.366896323797057e-004	2.191560e-002	-2.170281e-001
8.406896323798208e-004	1.630545e-002	-1.500657e-001
8.446896323799358e-004	9.670771e-003	-7.442036e-002
8.486896323800508e-004	2.428439e-003	4.711079e-003
8.526896323801658e-004	-4.966480e-003	8.220162e-002
8.566896323802808e-004	-1.204934e-002	1.533597e-001
8.606896323803959e-004	-1.837509e-002	2.141809e-001
