time	V(g1)	V(out)
3.801019467229712e-004	-1.287421e-001	1.166564e+000
3.811019467229712e-004	-1.230749e-001	1.130728e+000
3.821019467229713e-004	-1.172864e-001	1.092921e+000
3.831019467229713e-004	-1.113821e-001	1.053114e+000
3.841019467229713e-004	-1.053678e-001	1.011282e+000
3.851019467229713e-004	-9.924959e-002	9.674095e-001
3.861019467229714e-004	-9.303342e-002	9.214833e-001
3.871019467229714e-004	-8.672544e-002	8.734986e-001
3.881019466891550e-004	-8.033186e-002	8.234568e-001
3.891019466891550e-004	-7.385901e-002	7.713659e-001
3.901019466891550e-004	-6.731327e-002	7.172410e-001
3.911019466891551e-004	-6.070110e-002	6.611044e-001
3.921019466891551e-004	-5.402903e-002	6.029854e-001
3.931019466891551e-004	-4.730363e-002	5.429209e-001
3.941019466891551e-004	-4.053155e-002	4.809553e-001
3.951019466891552e-004	-3.371948e-002	4.171400e-001
3.961019466891552e-004	-2.687412e-002	3.515343e-001
3.971019466891552e-004	-2.000225e-002	2.842047e-001
3.981019466891552e-004	-1.311063e-002	2.152248e-001
3.991019466891553e-004	-6.206076e-003	1.446759e-001
4.001019466891553e-004	7.046037e-004	7.264592e-002
4.011019466891553e-004	7.614587e-003	-7.701244e-004
4.021019466891553e-004	1.451706e-002	-7.547059e-002
4.031019466891554e-004	2.140520e-002	-1.513474e-001
4.041019466891554e-004	2.827222e-002	-2.282862e-001
4.051019466891554e-004	3.511133e-002	-3.061669e-001
4.061019466891554e-004	4.191580e-002	-3.848638e-001
4.071019466891554e-004	4.867890e-002	-4.642459e-001
4.081019466891555e-004	5.539396e-002	-5.441777e-001
4.091019466891555e-004	6.205435e-002	-6.245189e-001
4.101019466891555e-004	6.865351e-002	-7.051255e-001
4.111019466891555e-004	7.518491e-002	-7.858496e-001
4.121019466891556e-004	8.164211e-002	-8.665406e-001
4.131019466765597e-004	8.801874e-002	-9.470450e-001
4.141019466765597e-004	9.430851e-002	-1.027207e+000
4.151019466765598e-004	1.005052e-001	-1.106871e+000
4.161019466765598e-004	1.066027e-001	-1.185876e+000
4.171019466765598e-004	1.125950e-001	-1.264065e+000
4.181019466765598e-004	1.184762e-001	-1.341279e+000
4.191019466765599e-004	1.242405e-001	-1.417358e+000
4.201019466765599e-004	1.298821e-001	-1.492145e+000
4.211019466765599e-004	1.353956e-001	-1.565485e+000
4.221019466765599e-004	1.407755e-001	-1.637222e+000
4.231019466765600e-004	1.460164e-001	-1.707204e+000
4.241019466765600e-004	1.511132e-001	-1.775284e+000
4.251019466765600e-004	1.560609e-001	-1.841314e+000
4.261019466765600e-004	1.608546e-001	-1.905155e+000
4.271019466765601e-004	1.654896e-001	-1.966668e+000
4.281019466765601e-004	1.699612e-001	-2.025720e+000
4.291019466765601e-004	1.742651e-001	-2.082186e+000
4.301019466765601e-004	1.783970e-001	-2.135942e+000
4.311019466765602e-004	1.823528e-001	-2.186873e+000
4.321019466765602e-004	1.861287e-001	-2.234870e+000
4.331019466765602e-004	1.897209e-001	-2.279830e+000
4.341019466765602e-004	1.931259e-001	-2.321657e+000
4.351019466765602e-004	1.963403e-001	-2.360263e+000
4.361019466765603e-004	1.993609e-001	-2.395566e+000
4.371019466765603e-004	2.021848e-001	-2.427492e+000
4.381019466718684e-004	2.048092e-001	-2.455977e+000
4.391019466718684e-004	2.072314e-001	-2.480963e+000
4.401019466718684e-004	2.094491e-001	-2.502400e+000
4.411019466718685e-004	2.114601e-001	-2.520247e+000
4.421019466718685e-004	2.132624e-001	-2.534472e+000
4.431019466718685e-004	2.148543e-001	-2.545051e+000
4.441019466718685e-004	2.162341e-001	-2.551967e+000
4.451019466718686e-004	2.174006e-001	-2.555214e+000
4.461019466718686e-004	2.183524e-001	-2.554793e+000
4.471019466718686e-004	2.190888e-001	-2.550713e+000
4.481019466718686e-004	2.196090e-001	-2.542992e+000
4.491019466718686e-004	2.199125e-001	-2.531657e+000
4.501019466718687e-004	2.199989e-001	-2.516740e+000
4.511019466718687e-004	2.198682e-001	-2.498285e+000
4.521019466718687e-004	2.195205e-001	-2.476341e+000
4.531019466718687e-004	2.189562e-001	-2.450965e+000
4.541019466718688e-004	2.181758e-001	-2.422222e+000
4.551019466718688e-004	2.171801e-001	-2.390182e+000
4.561019466718688e-004	2.159701e-001	-2.354926e+000
4.571019466718688e-004	2.145469e-001	-2.316536e+000
4.581019466718689e-004	2.129120e-001	-2.275104e+000
