time	V(n002)
5.223144368482306e-005	-2.871898e+000
5.241246695275592e-005	-2.925020e+000
5.261743786547958e-005	-2.910794e+000
5.284115931120277e-005	-2.797597e+000
5.320387822324926e-005	-2.439516e+000
5.360387822324862e-005	-1.868143e+000
5.400387822324798e-005	-1.169234e+000
5.440387822324734e-005	-4.315864e-001
5.480387822324670e-005	2.554973e-001
5.520387822324606e-005	8.252235e-001
5.560387822324542e-005	1.242925e+000
5.600387822324478e-005	1.508015e+000
5.640387822324414e-005	1.646763e+000
5.680387822324350e-005	1.708741e+000
5.684575161859530e-005	1.711457e+000
5.692949840930064e-005	1.713488e+000
5.709699199070960e-005	1.715329e+000
5.728971773909589e-005	1.715825e+000
5.744939307696442e-005	1.715803e+000
5.766022656851153e-005	1.715765e+000
5.782177036805711e-005	1.715735e+000
5.782222414277456e-005	1.715735e+000
5.782313169220947e-005	1.715735e+000
5.782494679108102e-005	1.715734e+000
5.782540056579848e-005	1.715734e+000
5.782630811523339e-005	1.715734e+000
5.782634356638235e-005	1.715734e+000
5.783464135113952e-005	1.715730e+000
5.784293913589669e-005	1.715721e+000
5.785123692065386e-005	1.715707e+000
5.785953470541103e-005	1.715689e+000
5.786783249016821e-005	1.715665e+000
5.787613027492538e-005	1.715637e+000
5.788442805968255e-005	1.715604e+000
5.794251122356355e-005	1.715150e+000
5.805867755132553e-005	1.712540e+000
5.829101020684950e-005	1.695375e+000
5.869101020684886e-005	1.617254e+000
5.909101020684822e-005	1.446863e+000
5.949101020684758e-005	1.140187e+000
5.989101020684694e-005	6.766579e-001
6.029101020684630e-005	6.636985e-002
6.069101020684566e-005	-6.452660e-001
6.109101020684501e-005	-1.382686e+000
6.149101020684437e-005	-2.053679e+000
6.189101020684373e-005	-2.584064e+000
6.217194532511829e-005	-2.835548e+000
6.233866515567565e-005	-2.913982e+000
6.251699644799560e-005	-2.934564e+000
6.267767542824342e-005	-2.896177e+000
6.293908045288364e-005	-2.719819e+000
6.333908045288300e-005	-2.264820e+000
6.373908045288236e-005	-1.643363e+000
6.413908045288172e-005	-9.202381e-001
6.453908045288108e-005	-1.903454e-001
6.493908045288044e-005	4.632834e-001
6.533908045287980e-005	9.837964e-001
6.573908045287916e-005	1.348454e+000
6.613908045287852e-005	1.566615e+000
6.653908045287788e-005	1.685659e+000
6.658908045287758e-005	1.693624e+000
6.668908045287698e-005	1.701812e+000
6.688908045287753e-005	1.710778e+000
6.717121753629929e-005	1.715352e+000
6.733776133202411e-005	1.715847e+000
6.749743191029715e-005	1.715818e+000
6.767948439050618e-005	1.715785e+000
6.782026431484227e-005	1.715759e+000
6.782050211876813e-005	1.715759e+000
6.782097772661984e-005	1.715759e+000
6.782192894232500e-005	1.715759e+000
6.782216674625086e-005	1.715759e+000
6.782264235410257e-005	1.715759e+000
6.782359356980773e-005	1.715758e+000
6.782383137373359e-005	1.715758e+000
6.782389082471592e-005	1.715758e+000
6.782391683451960e-005	1.715758e+000
6.783261154057295e-005	1.715754e+000
6.784130624662630e-005	1.715745e+000
6.785000095267965e-005	1.715730e+000
6.785869565873301e-005	1.715710e+000
6.786739036478636e-005	1.715685e+000
6.787608507083971e-005	1.715655e+000
6.788477977689306e-005	1.715619e+000
6.794565758201122e-005	1.715118e+000
6.806741319224929e-005	1.712189e+000
6.831092441272370e-005	1.693157e+000
6.871092441272306e-005	1.611324e+000
6.911092441272242e-005	1.434862e+000
6.951092441272178e-005	1.120510e+000
6.991092441272113e-005	6.490149e-001
7.031092441272049e-005	3.220414e-002
7.071092441271985e-005	-6.828269e-001
7.111092441271921e-005	-1.419287e+000
7.151092441271857e-005	-2.084519e+000
7.191092441271793e-005	-2.607048e+000
7.217944486108234e-005	-2.841537e+000
7.234797706481659e-005	-2.916807e+000
7.253353077762981e-005	-2.932994e+000
7.270459722805329e-005	-2.884660e+000
7.298279568147478e-005	-2.681898e+000
7.338279568147414e-005	-2.205584e+000
7.378279568147350e-005	-1.568397e+000
7.418279568147286e-005	-8.398870e-001
7.458279568147222e-005	-1.145580e-001
7.498279568147158e-005	5.268375e-001
7.538279568147094e-005	1.030947e+000
7.578279568147030e-005	1.378774e+000
7.618279568146966e-005	1.582775e+000
7.658279568146902e-005	1.691028e+000
7.663279568146872e-005	1.698034e+000
7.673279568146812e-005	1.704925e+000
7.693279568146867e-005	1.712295e+000
7.718766010480181e-005	1.715538e+000
7.735817437277276e-005	1.715868e+000
7.756918900209825e-005	1.715829e+000
7.781420937554191e-005	1.715784e+000
7.781911997868825e-005	1.715784e+000
7.782034762947483e-005	1.715783e+000
7.782065454217148e-005	1.715783e+000
7.782126836756477e-005	1.715783e+000
7.782142182391309e-005	1.715783e+000
7.782143809439682e-005	1.715783e+000
7.782145436488053e-005	1.715783e+000
7.782147063536426e-005	1.715783e+000
7.782148690584797e-005	1.715783e+000
7.782150317633170e-005	1.715783e+000
7.782151944681541e-005	1.715783e+000
7.782153571729913e-005	1.715783e+000
7.783274899189495e-005	1.715778e+000
7.784396226649075e-005	1.715764e+000
7.785517554108657e-005	1.715740e+000
7.786638881568237e-005	1.715707e+000
7.787760209027819e-005	1.715664e+000
7.788881536487399e-005	1.715611e+000
7.790002863946981e-005	1.715549e+000
7.797859828981638e-005	1.714625e+000
7.813573759050951e-005	1.708772e+000
7.845001619189405e-005	1.673557e+000
7.885001619189341e-005	1.563446e+000
7.925001619189277e-005	1.342691e+000
7.965001619189213e-005	9.745109e-001
8.005001619189149e-005	4.489877e-001
8.045001619189085e-005	-2.093228e-001
8.085001619189021e-005	-9.417878e-001
8.125001619188957e-005	-1.664866e+000
8.165001619188893e-005	-2.283472e+000
8.205001619188829e-005	-2.745668e+000
8.223141678232251e-005	-2.874949e+000
8.241243361983841e-005	-2.928093e+000
8.261742544457204e-005	-2.913865e+000
8.284113910724152e-005	-2.800637e+000
8.320384561528310e-005	-2.442444e+000
8.360384561528246e-005	-1.870861e+000
8.400384561528182e-005	-1.171664e+000
8.440384561528118e-005	-4.336685e-001
8.480384561528054e-005	2.538022e-001
8.520384561527990e-005	8.239289e-001
8.560384561527926e-005	1.242017e+000
8.600384561527862e-005	1.507456e+000
8.640384561527797e-005	1.646491e+000
8.680384561527733e-005	1.708699e+000
8.684572152744749e-005	1.711434e+000
8.692947335178780e-005	1.713494e+000
8.709697700047016e-005	1.715377e+000
8.728969951954727e-005	1.715894e+000
8.744938901451838e-005	1.715876e+000
8.766022493899607e-005	1.715837e+000
8.781586903325658e-005	1.715809e+000
8.781677657899653e-005	1.715809e+000
8.781859167047469e-005	1.715808e+000
8.781904544334467e-005	1.715808e+000
8.781995298908461e-005	1.715808e+000
8.782017987551960e-005	1.715808e+000
8.782025077752956e-005	1.715808e+000
8.782854783212998e-005	1.715804e+000
8.783684488673038e-005	1.715796e+000
8.784514194133080e-005	1.715783e+000
8.785343899593121e-005	1.715765e+000
8.786173605053163e-005	1.715743e+000
8.787003310513204e-005	1.715716e+000
8.787833015973245e-005	1.715684e+000
8.793641308703706e-005	1.715245e+000
8.805257894164628e-005	1.712700e+000
8.828491065086298e-005	1.695827e+000
8.868491065086234e-005	1.618660e+000
8.908491065086170e-005	1.449778e+000
8.948491065086106e-005	1.145060e+000
8.988491065086042e-005	6.835625e-001
9.028491065085978e-005	7.487652e-002
9.068491065085914e-005	-6.360777e-001
9.108491065085850e-005	-1.374093e+000
9.148491065085786e-005	-2.047082e+000
9.188491065085722e-005	-2.580041e+000
9.216964426839863e-005	-2.836914e+000
9.233580743407341e-005	-2.917782e+000
9.249329794316745e-005	-2.940313e+000
9.264750895722311e-005	-2.910859e+000
9.289005893384217e-005	-2.763375e+000
9.328269408750631e-005	-2.342779e+000
9.368269408750567e-005	-1.741811e+000
9.408269408750503e-005	-1.026905e+000
9.448269408750439e-005	-2.922310e-001
9.488269408750374e-005	3.765813e-001
9.528269408750310e-005	9.184919e-001
9.568269408750246e-005	1.305653e+000
9.608269408750182e-005	1.543135e+000
9.648269408750118e-005	1.661690e+000
9.688269408750054e-005	1.706875e+000
9.716880758284946e-005	1.715361e+000
9.733476827176839e-005	1.715922e+000
9.749109928331064e-005	1.715894e+000
9.767694657628404e-005	1.715860e+000
9.780552963307813e-005	1.715836e+000
9.780931148768886e-005	1.715835e+000
9.781687519691204e-005	1.715834e+000
9.781876612421740e-005	1.715833e+000
9.782254797882813e-005	1.715832e+000
9.783011168805131e-005	1.715827e+000
9.783200261535667e-005	1.715826e+000
9.783247534718258e-005	1.715826e+000
9.783909359275221e-005	1.715819e+000
9.784665730197539e-005	1.715807e+000
9.786178472042176e-005	1.715773e+000
9.789203955731449e-005	1.715649e+000
9.795254923109995e-005	1.715098e+000
9.807356857866913e-005	1.712036e+000
9.831560727380923e-005	1.692635e+000
9.871560727380858e-005	1.609590e+000
9.911560727380794e-005	1.431432e+000
9.951560727380730e-005	1.114966e+000
9.991560727380666e-005	6.712161e-001
9.999999999999940e-005	5.582557e-001
