time	V(g1)	V(out)
1.691020261681313e-004	-9.321172e-003	1.027806e-001
1.701020261681313e-004	-9.530179e-003	1.046498e-001
1.711020261681313e-004	-9.701575e-003	1.061256e-001
1.721020261681313e-004	-9.834683e-003	1.072027e-001
1.731020261681313e-004	-9.928978e-003	1.078771e-001
1.741020261681313e-004	-9.984087e-003	1.081464e-001
1.751020261681313e-004	-9.999795e-003	1.080094e-001
1.761020261681313e-004	-9.976037e-003	1.074666e-001
1.771020261681313e-004	-9.912909e-003	1.065198e-001
1.781020261681313e-004	-9.810659e-003	1.051723e-001
1.791020261681313e-004	-9.669690e-003	1.034288e-001
1.801020261681313e-004	-9.490561e-003	1.012953e-001
1.811020261681313e-004	-9.273975e-003	9.877948e-002
1.821020261681313e-004	-9.020790e-003	9.589018e-002
1.831020261681313e-004	-8.732004e-003	9.263772e-002
1.841020261681313e-004	-8.408757e-003	8.903373e-002
1.851020261681313e-004	-8.052324e-003	8.509117e-002
1.861020261681313e-004	-7.664112e-003	8.082432e-002
1.871020261681313e-004	-7.245654e-003	7.624865e-002
1.881019762798714e-004	-6.798623e-003	7.138112e-002
1.891019762798714e-004	-6.324740e-003	6.623913e-002
1.901019762798714e-004	-5.825896e-003	6.084191e-002
1.911019762798714e-004	-5.304059e-003	5.520951e-002
1.921019762798714e-004	-4.761290e-003	4.936296e-002
1.931019762798714e-004	-4.199730e-003	4.332425e-002
1.941019762798714e-004	-3.621596e-003	3.711624e-002
1.951019762798714e-004	-3.029169e-003	3.076254e-002
1.961019762798714e-004	-2.424788e-003	2.428751e-002
1.971019762798714e-004	-1.810836e-003	1.771610e-002
1.981019762798714e-004	-1.189739e-003	1.107380e-002
1.991019762798714e-004	-5.639456e-004	4.386560e-003
2.001019762798713e-004	6.407315e-005	-2.319364e-003
2.011019762798713e-004	6.918390e-004	-9.017458e-003
2.021019762798713e-004	1.316875e-003	-1.568109e-002
2.031019762798713e-004	1.936713e-003	-2.228359e-002
2.041019762798713e-004	2.548908e-003	-2.879839e-002
2.051019762798713e-004	3.151044e-003	-3.519914e-002
2.061019762798713e-004	3.740744e-003	-4.145979e-002
2.071019762798713e-004	4.315681e-003	-4.755472e-002
2.081019762798713e-004	4.873585e-003	-5.345888e-002
2.091019762798713e-004	5.412257e-003	-5.914789e-002
2.101019762798713e-004	5.929568e-003	-6.459812e-002
2.111019762798713e-004	6.423478e-003	-6.978687e-002
2.121019762798713e-004	6.892038e-003	-7.469242e-002
2.131019576981337e-004	7.333390e-003	-7.929409e-002
2.141019576981337e-004	7.745808e-003	-8.357266e-002
2.151019576981337e-004	8.127659e-003	-8.750996e-002
2.161019576981337e-004	8.477432e-003	-9.108929e-002
2.171019576981337e-004	8.793749e-003	-9.429546e-002
2.181019576981337e-004	9.075361e-003	-9.711482e-002
2.191019576981337e-004	9.321157e-003	-9.953535e-002
2.201019576981337e-004	9.530166e-003	-1.015468e-001
2.211019576981337e-004	9.701564e-003	-1.031405e-001
2.221019576981337e-004	9.834675e-003	-1.043097e-001
2.231019576981337e-004	9.928972e-003	-1.050494e-001
2.241019576981337e-004	9.984085e-003	-1.053567e-001
2.251019576981337e-004	9.999795e-003	-1.052301e-001
2.261019576981337e-004	9.976040e-003	-1.046704e-001
2.271019576981337e-004	9.912915e-003	-1.036801e-001
2.281019576981337e-004	9.810667e-003	-1.022635e-001
2.291019576981337e-004	9.669702e-003	-1.004268e-001
2.301019576981337e-004	9.490574e-003	-9.817806e-002
2.311019576981337e-004	9.273992e-003	-9.552696e-002
2.321019576981337e-004	9.020809e-003	-9.248499e-002
2.331019576981337e-004	8.732026e-003	-8.906522e-002
2.341019576981337e-004	8.408780e-003	-8.528234e-002
2.351019576981336e-004	8.052349e-003	-8.115251e-002
2.361019576981336e-004	7.664140e-003	-7.669333e-002
2.371019576981336e-004	7.245684e-003	-7.192370e-002
2.381019507770444e-004	6.798635e-003	-6.686381e-002
2.391019507770444e-004	6.324752e-003	-6.153487e-002
2.401019507770444e-004	5.825909e-003	-5.595925e-002
2.411019507770444e-004	5.304073e-003	-5.016015e-002
2.421019507770444e-004	4.761304e-003	-4.416164e-002
2.431019507770444e-004	4.199745e-003	-3.798845e-002
2.441019507770444e-004	3.621611e-003	-3.166592e-002
2.451019507770444e-004	3.029185e-003	-2.521984e-002
2.461019507770444e-004	2.424803e-003	-1.867638e-002
2.471019507770445e-004	1.810852e-003	-1.206193e-002
2.481019507770445e-004	1.189755e-003	-5.403016e-003
2.491019507770445e-004	5.639616e-004	1.273807e-003
2.501019507770445e-004	-6.405712e-005	7.942084e-003
2.511019507770446e-004	-6.918230e-004	1.457555e-002
2.521019507770446e-004	-1.316859e-003	2.114824e-002
2.531019507770446e-004	-1.936697e-003	2.763459e-002
2.541019507770446e-004	-2.548893e-003	3.400950e-002
2.551019507770446e-004	-3.151028e-003	4.024849e-002
2.561019507770447e-004	-3.740729e-003	4.632771e-002
2.571019507770447e-004	-4.315666e-003	5.222408e-002
2.581019507770447e-004	-4.873571e-003	5.791534e-002
2.591019507770447e-004	-5.412243e-003	6.338011e-002
2.601019507770448e-004	-5.929555e-003	6.859799e-002
2.611019507770448e-004	-6.423466e-003	7.354960e-002
2.621019507770448e-004	-6.892026e-003	7.821662e-002
2.631019481991650e-004	-7.333386e-003	8.258188e-002
2.641019481991650e-004	-7.745805e-003	8.662941e-002
