#timebase=40000000(ps)
,#voltbase=100000(uV)
#size=4164
1.68E-04,1.240
1.68E-04,1.220
1.69E-04,1.240
1.69E-04,1.220
1.69E-04,1.220
1.69E-04,1.240
1.69E-04,1.240
1.70E-04,1.180
1.70E-04,1.220
1.70E-04,1.240
1.70E-04,1.260
1.70E-04,1.260
1.71E-04,1.220
1.71E-04,1.180
1.71E-04,1.200
1.71E-04,1.240
1.71E-04,1.220
1.72E-04,1.160
1.72E-04,1.200
1.72E-04,1.220
1.72E-04,1.220
1.72E-04,1.220
1.73E-04,1.160
1.73E-04,1.180
1.73E-04,1.200
1.73E-04,1.220
1.73E-04,1.180
1.74E-04,1.200
1.74E-04,1.220
1.74E-04,1.160
1.74E-04,1.180
1.74E-04,1.160
1.75E-04,1.180
1.75E-04,1.140
1.75E-04,1.140
1.75E-04,1.140
1.75E-04,1.160
1.76E-04,1.140
1.76E-04,1.140
1.76E-04,1.140
1.76E-04,1.140
1.76E-04,1.120
1.77E-04,1.140
1.77E-04,1.120
1.77E-04,1.120
1.77E-04,1.120
1.77E-04,1.100
1.78E-04,1.100
1.78E-04,1.100
1.78E-04,1.080
1.78E-04,1.100
1.78E-04,1.080
1.79E-04,1.120
1.79E-04,1.080
1.79E-04,1.120
1.79E-04,1.100
1.79E-04,1.100
1.80E-04,1.040
1.80E-04,1.060
1.80E-04,1.060
1.80E-04,1.060
1.80E-04,1.040
1.81E-04,1.040
1.81E-04,1.000
1.81E-04,1.060
1.81E-04,1.020
1.81E-04,1.040
1.82E-04,1.020
1.82E-04,1.000
1.82E-04,0.980
1.82E-04,1.040
1.82E-04,0.980
1.83E-04,0.980
1.83E-04,0.960
1.83E-04,0.960
1.83E-04,0.980
1.83E-04,0.960
1.84E-04,0.980
1.84E-04,0.960
1.84E-04,0.920
1.84E-04,0.920
1.84E-04,0.940
1.85E-04,0.940
1.85E-04,0.920
1.85E-04,0.940
1.85E-04,0.920
1.85E-04,0.900
1.86E-04,0.920
1.86E-04,0.920
1.86E-04,0.880
1.86E-04,0.900
1.86E-04,0.860
1.87E-04,0.840
1.87E-04,0.860
1.87E-04,0.820
1.87E-04,0.840
1.87E-04,0.860
1.88E-04,0.840
1.88E-04,0.820
1.88E-04,0.820
1.88E-04,0.840
1.88E-04,0.780
1.89E-04,0.820
1.89E-04,0.780
1.89E-04,0.780
1.89E-04,0.760
1.89E-04,0.760
1.90E-04,0.760
1.90E-04,0.740
1.90E-04,0.760
1.90E-04,0.740
1.90E-04,0.700
1.91E-04,0.760
1.91E-04,0.720
1.91E-04,0.700
1.91E-04,0.740
1.91E-04,0.680
1.92E-04,0.720
1.92E-04,0.700
1.92E-04,0.660
1.92E-04,0.620
1.92E-04,0.660
1.93E-04,0.640
1.93E-04,0.620
1.93E-04,0.620
1.93E-04,0.600
1.93E-04,0.580
1.94E-04,0.600
1.94E-04,0.580
1.94E-04,0.560
1.94E-04,0.620
1.94E-04,0.580
1.95E-04,0.540
1.95E-04,0.560
1.95E-04,0.540
1.95E-04,0.520
1.95E-04,0.540
1.96E-04,0.500
1.96E-04,0.500
1.96E-04,0.480
1.96E-04,0.500
1.96E-04,0.500
1.97E-04,0.460
1.97E-04,0.460
1.97E-04,0.440
1.97E-04,0.460
1.97E-04,0.420
1.98E-04,0.420
1.98E-04,0.420
1.98E-04,0.400
1.98E-04,0.380
1.98E-04,0.400
1.99E-04,0.360
1.99E-04,0.300
1.99E-04,0.320
1.99E-04,0.320
1.99E-04,0.320
2.00E-04,0.320
2.00E-04,0.300
2.00E-04,0.280
2.00E-04,0.300
2.00E-04,0.240
2.01E-04,0.260
2.01E-04,0.260
2.01E-04,0.220
2.01E-04,0.180
2.01E-04,0.200
2.02E-04,0.200
2.02E-04,0.220
2.02E-04,0.160
2.02E-04,0.120
2.02E-04,0.180
2.03E-04,0.160
2.03E-04,0.100
2.03E-04,0.120
2.03E-04,0.100
2.03E-04,0.100
2.04E-04,0.120
2.04E-04,0.020
2.04E-04,0.080
2.04E-04,0.040
2.04E-04,0.040
2.05E-04,0.020
2.05E-04,0.000
2.05E-04,0.040
2.05E-04,0.040
2.05E-04,0.000
2.06E-04,-0.040
2.06E-04,-0.020
2.06E-04,-0.040
2.06E-04,-0.060
2.06E-04,-0.080
2.07E-04,-0.060
2.07E-04,-0.120
2.07E-04,-0.120
2.07E-04,-0.120
2.07E-04,-0.140
2.08E-04,-0.120
2.08E-04,-0.120
2.08E-04,-0.140
2.08E-04,-0.200
2.08E-04,-0.200
2.09E-04,-0.180
2.09E-04,-0.220
2.09E-04,-0.220
2.09E-04,-0.220
2.09E-04,-0.220
2.10E-04,-0.300
2.10E-04,-0.260
2.10E-04,-0.300
2.10E-04,-0.260
2.10E-04,-0.320
2.11E-04,-0.360
2.11E-04,-0.320
2.11E-04,-0.360
2.11E-04,-0.380
2.11E-04,-0.340
2.12E-04,-0.360
2.12E-04,-0.380
2.12E-04,-0.420
2.12E-04,-0.380
2.12E-04,-0.380
