#timebase=40000000(ps)
,#voltbase=100000(uV)
#size=4164
1.37E-04,1.340
1.37E-04,1.360
1.38E-04,1.360
1.38E-04,1.360
1.38E-04,1.340
1.38E-04,1.360
1.38E-04,1.380
1.39E-04,1.360
1.39E-04,1.360
1.39E-04,1.360
1.39E-04,1.340
1.39E-04,1.400
1.40E-04,1.380
1.40E-04,1.360
1.40E-04,1.360
1.40E-04,1.400
1.40E-04,1.400
1.41E-04,1.340
1.41E-04,1.340
1.41E-04,1.360
1.41E-04,1.380
1.41E-04,1.380
1.42E-04,1.360
1.42E-04,1.380
1.42E-04,1.380
1.42E-04,1.380
1.42E-04,1.360
1.43E-04,1.360
1.43E-04,1.360
1.43E-04,1.360
1.43E-04,1.400
1.43E-04,1.400
1.44E-04,1.400
1.44E-04,1.400
1.44E-04,1.400
1.44E-04,1.340
1.44E-04,1.380
1.45E-04,1.380
1.45E-04,1.420
1.45E-04,1.400
1.45E-04,1.380
1.45E-04,1.400
1.46E-04,1.380
1.46E-04,1.400
1.46E-04,1.360
1.46E-04,1.380
1.46E-04,1.380
1.47E-04,1.380
1.47E-04,1.400
1.47E-04,1.400
1.47E-04,1.380
1.47E-04,1.420
1.48E-04,1.380
1.48E-04,1.340
1.48E-04,1.360
1.48E-04,1.400
1.48E-04,1.420
1.49E-04,1.400
1.49E-04,1.360
1.49E-04,1.400
1.49E-04,1.420
1.49E-04,1.380
1.50E-04,1.380
1.50E-04,1.400
1.50E-04,1.380
1.50E-04,1.420
1.50E-04,1.400
1.51E-04,1.420
1.51E-04,1.380
1.51E-04,1.380
1.51E-04,1.380
1.51E-04,1.380
1.52E-04,1.440
1.52E-04,1.400
1.52E-04,1.380
1.52E-04,1.380
1.52E-04,1.420
1.53E-04,1.400
1.53E-04,1.400
1.53E-04,1.380
1.53E-04,1.380
1.53E-04,1.420
1.54E-04,1.360
1.54E-04,1.420
1.54E-04,1.380
1.54E-04,1.380
1.54E-04,1.400
1.55E-04,1.400
1.55E-04,1.380
1.55E-04,1.400
1.55E-04,1.400
1.55E-04,1.380
1.56E-04,1.380
1.56E-04,1.380
1.56E-04,1.400
1.56E-04,1.380
1.56E-04,1.360
1.57E-04,1.400
1.57E-04,1.420
1.57E-04,1.400
